category,authorised_value,lib
"DAMAGED","1","Skadd eksemplar"
"DAMAGED","2","Menes levert"
"DAMAGED","3","Menes ikke lånt"
"DAMAGED","4","Regning"
"LOST","1","Tapt"
"LOST","4","Ikke på plass"
"LOST","8","Tapt, regning betalt"
"LOST","12","Forlengst forfalt"
"NOT_LOAN","-1","Til klargjøring"
"NOT_LOAN","1","Til internt bruk"
"NOT_LOAN","2","Til reparasjon"
"NOT_LOAN","4","Til retting"
"NOT_LOAN","8","Ikke til hjemlån"
"WITHDRAWN","1","Vurderes kassert"
"DOORACCESS","B","Blokkert for meråpent"
"DOORACCESS","1","Har tilgang til meråpent"
"DOORACCESS","0","Ikke avtale om meråpent"
